date_trunc,distance,avg
2020-04-06 00:00:00,8.7,0.6388888891254153
2020-04-06 00:00:00,9.5,1
2020-04-06 00:00:00,8.9,0.27206823118587037
2020-04-06 00:00:00,7.4,0.712000263325962
2020-04-06 00:00:00,11.5,0.29411764705882354
2020-04-06 00:00:00,11.4,0.3081632665225438
2020-04-06 00:00:00,10.6,0.29498403954009217
2020-04-06 00:00:00,12.2,0.3544616383415731
2020-04-06 00:00:00,11.6,0.2815217404909756
2020-04-06 00:00:00,12.5,0.3190770153370168
2020-04-06 00:00:00,5.7,1.671592774062321
2020-04-06 00:00:00,14.5,0.36764705882352944
2020-04-06 00:00:00,13.4,0.31339341966379985
2020-04-06 00:00:00,11.7,0.35844601414821764
2020-04-06 00:00:00,9,0.2656462590913383
2020-04-06 00:00:00,13.5,0.38499149759965284
2020-04-06 00:00:00,13.8,0.28013673320759175
2020-04-06 00:00:00,10.7,0.3705494523048401
2020-04-06 00:00:00,9.1,0.2265238109230995
2020-04-07 00:00:00,12.2,0.6
2020-04-07 00:00:00,9.1,0.5
2020-04-07 00:00:00,8.9,0.5333333333333333
2020-04-07 00:00:00,9.5,
2020-04-07 00:00:00,11.5,0.7777777777777778
2020-04-07 00:00:00,9,0.42857142857142855
2020-04-07 00:00:00,11.6,0.625
2020-04-07 00:00:00,14.5,0.5882352941176471
2020-04-07 00:00:00,13.5,0.4444444444444444
2020-04-07 00:00:00,13.8,0.30555555621782937
2020-04-07 00:00:00,11.4,0.4
2020-04-07 00:00:00,13.4,0.5106382978723404
2020-04-07 00:00:00,11.7,0.6
2020-04-07 00:00:00,8.7,0.25
2020-04-07 00:00:00,12.5,0.6666666666666666
2020-04-07 00:00:00,7.4,0.5945945945945946
2020-04-07 00:00:00,10.6,0.5641025641025641
2020-04-07 00:00:00,10.7,0.5882352941176471
2020-04-07 00:00:00,5.7,0.4444444444444444
2020-04-08 00:00:00,11.6,1.1903528493863564
2020-04-08 00:00:00,10.6,1.564100362300873
2020-04-08 00:00:00,13.5,0.5645390311454205
2020-04-08 00:00:00,8.9,2.777648395725659
2020-04-08 00:00:00,12.2,1.0566913678000371
2020-04-08 00:00:00,9.1,3.2005257335576145
2020-04-08 00:00:00,11.7,1.4007926715239314
2020-04-08 00:00:00,7.4,4.028060708727155
2020-04-08 00:00:00,9,2.7862819598780737
2020-04-08 00:00:00,13.8,0.796075875902998
2020-04-08 00:00:00,5.7,4.058372069249111
2020-04-08 00:00:00,10.7,2.0249522813073884
2020-04-08 00:00:00,12.5,0.5836734771728516
2020-04-08 00:00:00,9.5,4.529175820350647
2020-04-08 00:00:00,14.5,0.6724558763560795
2020-04-08 00:00:00,11.5,1.6829190175611894
2020-04-08 00:00:00,8.7,4.545895846220699
2020-04-08 00:00:00,13.4,1.5950809717178345
2020-04-08 00:00:00,11.4,2.2478020029303467
2020-04-09 00:00:00,11.4,1.736016050628994
2020-04-09 00:00:00,11.7,0.9278139173984528
2020-04-09 00:00:00,12.2,0.7677880121128899
2020-04-09 00:00:00,11.5,0.8006350660728196
2020-04-09 00:00:00,9,2.6949735535515678
2020-04-09 00:00:00,13.4,0.5548293966799974
2020-04-09 00:00:00,10.6,1.5361734999550714
2020-04-09 00:00:00,7.4,0.733686468817971
2020-04-09 00:00:00,13.8,0.7550317299862702
2020-04-09 00:00:00,13.5,0.32482416336906367
2020-04-09 00:00:00,9.1,2.5664786994457245
2020-04-09 00:00:00,14.5,0.2437271074606822
2020-04-09 00:00:00,12.5,1.0006994102150202
2020-04-09 00:00:00,11.6,0.99707405080258
2020-04-09 00:00:00,9.5,4.166666666666667
2020-04-09 00:00:00,8.9,2.6371602263561513
2020-04-09 00:00:00,10.7,1.7309776266415915
2020-04-09 00:00:00,5.7,4.732151836156845
2020-04-09 00:00:00,8.7,3.66738224029541
2020-04-10 00:00:00,7.4,0.605856009892055
2020-04-10 00:00:00,14.5,0.75
2020-04-10 00:00:00,13.8,0.5037878792394291
2020-04-10 00:00:00,11.7,0.5535714285714286
2020-04-10 00:00:00,13.4,0.5621930355170988
2020-04-10 00:00:00,10.6,0.4222222222222222
2020-04-10 00:00:00,5.7,1.0833333333333333
2020-04-10 00:00:00,12.2,0.4878048780487805
2020-04-10 00:00:00,11.4,0.5625
2020-04-10 00:00:00,8.7,2.260000000397364
2020-04-10 00:00:00,11.5,1
2020-04-10 00:00:00,8.9,0.45
2020-04-10 00:00:00,9.1,0.5333333333333333
2020-04-10 00:00:00,9.5,0
2020-04-10 00:00:00,13.5,0.4782608695652174
2020-04-10 00:00:00,11.6,0.8125
2020-04-10 00:00:00,9,0.25
2020-04-10 00:00:00,10.7,0.8
2020-04-10 00:00:00,12.5,0.6666666666666666
2020-04-11 00:00:00,12.2,
2020-04-11 00:00:00,9.1,0
2020-04-11 00:00:00,9,
2020-04-11 00:00:00,10.6,
2020-04-11 00:00:00,11.7,0
